Name:Catlog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
04/07/2021, 18:22:30, 48.9036383, 9.203845, 110, 4, 3.4, 3.6, 26, 0, 43, 39, 45
04/07/2021, 18:23:05, 48.9048933, 9.2013733, 110, 4, 3.4, 3.6, 23, 0, 3, 40, 44
04/07/2021, 18:23:40, 48.9049617, 9.201235, 110, 4, 3.4, 3.5, 21, 0, 3, 43, 45
04/07/2021, 18:24:15, 48.9052117, 9.2004667, 110, 4, 3.4, 3.5, 20, 0, 3, 41, 44
04/07/2021, 18:24:51, 48.905735, 9.1998183, 110, 4, 3.3, 3.5, 19, 0, 4, 40, 44
04/07/2021, 18:25:28, 48.9056367, 9.199625, 110, 4, 3.3, 3.5, 18, 0, 4, 40, 45
04/07/2021, 18:26:03, 48.9047783, 9.20139, 110, 4, 3.3, 3.4, 17, 0, 3, 41, 47
04/07/2021, 18:26:50, 48.8988633, 9.208605, 114, 4, 3.2, 3.4, 17, 0, 14, 32, 37
04/07/2021, 18:27:31, 48.899385, 9.208065, 114, 4, 3.2, 3.4, 17, 0, 9, 31, 38
06/25/2021, 01:48:49, 52.14199, -6.600915, 24, 4, 2.0, 2.2, 19, 1.852, 63, 33, 38
06/25/2021, 01:54:08, 52.14228, -6.60638, 28, 4, 1.9, 2.1, 18, 16.668, 17, 34, 38
06/25/2021, 01:59:31, 52.141535, -6.6147267, 12, 4, 1.8, 2.0, 19, 33.336, 21, 34, 40
06/25/2021, 02:04:45, 52.13754, -6.63015, 2, 4, 1.7, 2.0, 20, 0, 11, 35, 39
06/25/2021, 02:09:58, 52.1373333, -6.6311633, 24, 4, 1.7, 2.0, 21, 0, 11, 35, 38
06/25/2021, 02:15:16, 52.138375, -6.64052, 18, 4, 1.7, 1.9, 19, 0, 16, 35, 39
06/25/2021, 02:20:37, 52.1378867, -6.6420967, 26, 4, 1.7, 1.9, 21, 0, 19, 35, 39
06/25/2021, 02:25:59, 52.1369233, -6.6416383, 20, 4, 1.7, 2.0, 23, 0, 20, 35, 39
06/25/2021, 02:31:31, 52.1380083, -6.6435, -4, 9, 0.9, 1.2, 23, 1.852, 30, 34, 40
06/25/2021, 02:36:34, 52.1369217, -6.64278, -6, 7, 1.2, 1.5, 22, 0, 1, 37, 40
06/25/2021, 02:41:37, 52.13773, -6.6421683, -4, 8, 1.0, 1.3, 22, 3.704, 1, 34, 37
06/25/2021, 02:46:41, 52.1494, -6.6554417, -8, 9, 0.9, 1.2, 19, 35.188, 1, 35, 42
06/25/2021, 02:51:44, 52.1498583, -6.682455, -4, 9, 0.8, 1.2, 18, 0, 1, 37, 41
06/25/2021, 02:56:48, 52.14947, -6.6824017, -4, 8, 0.9, 1.3, 21, 0, 1, 35, 40
06/25/2021, 03:01:51, 52.1492083, -6.6822517, -6, 9, 0.8, 1.2, 22, 0, 1, 36, 41
06/25/2021, 03:06:55, 52.1488633, -6.6819883, -2, 8, 0.9, 1.3, 22, 3.704, 1, 35, 42
06/25/2021, 03:11:58, 52.148335, -6.6817683, -16, 8, 0.9, 1.3, 21, 0, 1, 37, 41
06/25/2021, 03:17:02, 52.1641267, -6.6882083, -6, 8, 0.9, 1.2, 18, 33.336, 1, 36, 39
06/25/2021, 03:22:06, 52.1695883, -6.7130717, -4, 8, 0.9, 1.2, 18, 37.04, 1, 35, 41
06/25/2021, 03:27:09, 52.1574517, -6.7416, 6, 8, 0.9, 1.2, 18, 35.188, 1, 34, 42
06/25/2021, 03:32:12, 52.14458, -6.774635, -6, 6, 1.1, 1.4, 18, 35.188, 1, 35, 39
06/25/2021, 03:37:16, 52.12804, -6.808575, -2, 7, 1.1, 1.4, 18, 1.852, 1, 35, 39
06/25/2021, 03:42:19, 52.1280767, -6.8110033, -16, 7, 1.1, 1.3, 18, 1.852, 1, 36, 40
06/25/2021, 03:47:22, 52.1303617, -6.7931617, -2, 7, 1.1, 1.3, 18, 62.968, 1, 35, 39
06/25/2021, 03:52:26, 52.127055, -6.7313233, -16, 7, 1.0, 1.3, 18, 51.856, 1, 33, 38
06/25/2021, 03:57:29, 52.116985, -6.6774817, 0, 7, 1.0, 1.3, 18, 59.264, 1, 34, 39
06/25/2021, 04:02:32, 52.0886017, -6.6215167, -12, 7, 1.0, 1.3, 18, 59.264, 1, 35, 40
06/25/2021, 04:07:35, 52.0823867, -6.5758, -10, 6, 1.1, 1.3, 18, 31.484, 1, 35, 41
06/25/2021, 04:12:39, 52.08349, -6.5763367, -12, 7, 1.0, 1.3, 19, 3.704, 1, 33, 41
06/25/2021, 04:17:42, 52.0831183, -6.5762433, -18, 6, 1.1, 1.3, 21, 3.704, 1, 35, 42
06/25/2021, 04:22:45, 52.0828817, -6.57437, -114, 5, 1.7, 1.9, 18, 0, 1, 36, 39
06/25/2021, 04:27:49, 52.086855, -6.5579117, 0, 5, 1.2, 1.4, 18, 35.188, 1, 34, 40
06/25/2021, 04:33:01, 52.093645, -6.5145667, -4, 6, 1.0, 1.3, 18, 51.856, 10, 33, 40
06/25/2021, 04:38:13, 52.0995367, -6.4914133, 2, 5, 1.5, 1.7, 18, 1.852, 10, 32, 42
06/25/2021, 04:43:26, 52.1015317, -6.4853817, 4, 5, 1.4, 1.7, 19, 1.852, 10, 33, 41
06/25/2021, 04:48:50, 52.1015567, -6.4895333, 2, 4, 1.6, 1.8, 18, 0, 22, 33, 41
06/25/2021, 04:54:04, 52.10473, -6.484615, 0, 4, 1.5, 1.8, 19, 31.484, 12, 34, 40
06/25/2021, 04:59:42, 52.1134317, -6.4556583, 10, 4, 1.5, 1.7, 18, 29.632, 36, 33, 41
06/25/2021, 05:05:33, 52.1113967, -6.472305, 20, 4, 2.7, 2.8, 18, 37.04, 48, 35, 40
06/25/2021, 05:10:43, 52.1189417, -6.4634533, 32, 4, 2.8, 2.9, 19, 1.852, 8, 33, 39
06/25/2021, 05:15:55, 52.12038, -6.451415, -110, 4, 2.9, 3.0, 18, 25.928, 10, 35, 40
06/25/2021, 05:21:08, 52.1206667, -6.42339, -86, 4, 3.0, 3.2, 18, 27.78, 10, 35, 40
06/25/2021, 05:26:19, 52.114995, -6.4535383, -66, 4, 3.1, 3.3, 18, 61.116, 9, 34, 41
06/25/2021, 05:31:31, 52.1127117, -6.461815, -64, 4, 3.3, 3.4, 18, 1.852, 10, 33, 41
